# Precession rates from JPL Horizons APX format (numerical differencing)
# Epoch A: JD 2461163.5 TDB
# Epoch B: JD 2461193.5 TDB
# dt = 30 days

moon       	A.OM (deg) 	B.OM (deg) 	OM_dot (deg/day)	A.W (deg)  	B.W (deg)  	W_dot (deg/day)
Phobos     	80.5044	80.6660	0.005387	213.2600	225.9033	0.421443
Deimos     	81.3256	81.3400	0.000479	41.3715	46.8866	0.183838
Miranda    	163.2805	163.2557	-0.000827	59.1015	49.1884	-0.330436
Ariel      	167.6652	167.6654	0.000005	260.7979	230.5367	-1.008708
Umbriel    	167.7247	167.7248	0.000003	69.5177	62.3552	-0.238749
Titania    	167.6429	167.6430	0.000006	281.1580	264.4742	-0.556127
Oberon     	167.7091	167.7089	-0.000006	177.8617	158.4313	-0.647681
Triton     	222.7443	222.7656	0.000711	304.0825	332.6182	0.951187
Proteus    	48.7170	48.7178	0.000025	1.9497	353.7923	-0.271914
Charon     	227.3930	227.3930	0.000000	172.5957	172.5456	-0.001671
