Scenario "T0 baseline" UTC 2026-05-05 21:33:39 JD=2461166.398
Scenario "T-12d (back week)" UTC 2026-04-23 12:00:00 JD=2461154.000
Scenario "T+12d (fwd week)" UTC 2026-05-17 12:00:00 JD=2461178.000
Scenario "T-180d (6mo back)" UTC 2025-11-06 12:00:00 JD=2460986.000
Scenario "T+180d (6mo fwd)" UTC 2026-11-02 12:00:00 JD=2461347.000
Scenario "T-2yr (2024)" UTC 2024-05-05 12:00:00 JD=2460436.000
Scenario "T+2yr (2028)" UTC 2028-05-05 12:00:00 JD=2461897.000
Per-moon error vs Horizons-at-(jd-τ) (degrees) — apparent-aligned:
moon          	T0 baseline       	T-12d (back week) 	T+12d (fwd week)  	T-180d (6mo back) 	T+180d (6mo fwd)  	T-2yr (2024)      	T+2yr (2028)      	min	mean	max	std	category
Moon        	0.37              	0.37              	0.37              	0.36              	0.37              	0.34              	0.39              	0.34	0.37	0.39	0.02	OK
Phobos      	0.83              	2.86              	4.43              	54.93             	53.95             	142.27            	137.68            	0.83	56.71	142.27	56.87	DRIFT-time-varying
Deimos      	0.08              	0.31              	0.41              	5.26              	5.44              	21.66             	21.81             	0.08	7.85	21.81	9.03	DRIFT
Io          	1.36              	1.24              	1.50              	1.23              	1.82              	2.11              	0.66              	0.66	1.42	2.11	0.43	STABLE-rotation/sign
Europa      	1.10              	0.56              	2.48              	2.15              	2.12              	1.89              	2.56              	0.56	1.84	2.56	0.69	DRIFT
Ganymede    	0.95              	2.36              	1.32              	2.48              	2.26              	1.89              	1.17              	0.95	1.78	2.48	0.58	DRIFT
Callisto    	1.89              	0.78              	1.23              	0.29              	1.42              	0.52              	1.20              	0.29	1.05	1.89	0.51	DRIFT
Mimas       	1.10              	1.03              	0.99              	1.00              	1.21              	1.21              	0.90              	0.90	1.06	1.21	0.11	STABLE-rotation/sign
Enceladus   	0.56              	0.60              	0.55              	0.57              	0.61              	0.58              	0.58              	0.55	0.58	0.61	0.02	OK
Tethys      	0.73              	0.71              	0.68              	0.73              	0.65              	0.71              	0.71              	0.65	0.70	0.73	0.03	OK
Dione       	0.65              	0.57              	0.70              	0.67              	0.64              	0.66              	0.62              	0.57	0.64	0.70	0.04	OK
Rhea        	0.62              	0.70              	0.64              	0.65              	0.60              	0.68              	0.67              	0.60	0.65	0.70	0.03	OK
Titan       	0.66              	0.64              	0.67              	0.66              	0.55              	0.66              	0.68              	0.55	0.65	0.68	0.04	OK
Iapetus     	0.67              	0.62              	0.62              	0.60              	0.59              	0.62              	0.60              	0.59	0.62	0.67	0.02	OK
Miranda     	0.17              	0.54              	0.82              	10.08             	10.34             	41.80             	41.78             	0.17	15.07	41.80	17.37	DRIFT-time-varying
Ariel       	0.04              	0.13              	0.16              	2.27              	2.36              	9.35              	9.47              	0.04	3.40	9.47	3.91	DRIFT
Umbriel     	0.04              	0.08              	0.14              	1.94              	1.90              	7.87              	7.90              	0.04	2.84	7.90	3.28	DRIFT
Titania     	0.02              	0.23              	0.08              	1.45              	1.51              	6.24              	6.30              	0.02	2.26	6.30	2.60	DRIFT
Oberon      	0.07              	0.42              	0.47              	5.96              	6.16              	24.92             	24.98             	0.07	9.00	24.98	10.37	DRIFT
Triton      	0.25              	0.27              	0.23              	0.70              	0.20              	1.63              	2.10              	0.20	0.77	2.10	0.72	OK
Charon      	1.35              	1.29              	1.41              	1.27              	1.22              	1.53              	1.17              	1.17	1.32	1.53	0.11	STABLE-rotation/sign
