file	bitmap	ring_px	off_x%	off_y%	bbox_aspect	bbox/bitmap_aspect	L%	R%	T%	B%
docs/diag/2026-05-07-evidence/A/widget-cells-no-pluto/a/render_1778117086134_485x787__surface_widget_offsetY_0.0_tilt_0.0_labels_on_pluto_off.png	485x787	8457	-0.03	-13.45	1.488	2.414	100	99.6	66.2	16.4
docs/diag/2026-05-07-evidence/A/widget-cells-no-pluto/b/render_1778117302548_660x1074__surface_widget_offsetY_0.0_tilt_0.0_labels_on_pluto_off.png	660x1074	9856	-0.6	-13.63	1.49	2.424	100	99.7	66.1	16.2
docs/diag/2026-05-07-evidence/A/widget-cells-no-pluto/b/render_1778117304338_1010x1360__surface_widget_offsetY_0.0_tilt_0.0_labels_on_pluto_off.png	1010x1360	15098	-0.68	-13.54	1.494	2.012	100	99.8	74.4	24.9
docs/diag/2026-05-07-evidence/A/widget-cells-no-pluto/b/render_1778117305646_1010x1648__surface_widget_offsetY_0.0_tilt_0.0_labels_on_pluto_off.png	1010x1648	18434	-0.54	-13.12	1.492	2.434	100	99.8	65.9	16.1
docs/diag/2026-05-07-evidence/A/widget-cells-no-pluto/b/render_1778117307534_1185x1648__surface_widget_offsetY_0.0_tilt_0.0_labels_on_pluto_off.png	1185x1648	21832	-0.35	-13.19	1.492	2.076	100	99.8	72.9	23.3
docs/diag/2026-05-07-evidence/A/widget-cells-no-pluto/b/render_1778117308613_1185x1935__surface_widget_offsetY_0.0_tilt_0.0_labels_on_pluto_off.png	1185x1935	17528	-0.43	-13.21	1.494	2.44	100	99.8	65.8	16.1
docs/diag/2026-05-07-evidence/A/widget-cells-no-pluto/c/render_1778117392259_1185x1648__surface_widget_offsetY_0.0_tilt_0.0_labels_on_pluto_off.png	1185x1648	21832	-0.35	-13.19	1.492	2.076	100	99.8	72.9	23.3
docs/diag/2026-05-07-evidence/A/widget-cells-no-pluto/c/render_1778117395051_1185x1074__surface_widget_offsetY_0.0_tilt_0.0_labels_on_pluto_off.png	1185x1074	15994	-0.18	-13.38	1.648	1.494	100	99.8	91.4	42.3
docs/diag/2026-05-07-evidence/A/widget-cells-no-pluto/c/render_1778117395420_1185x1360__surface_widget_offsetY_0.0_tilt_0.0_labels_on_pluto_off.png	1185x1360	17892	-0.35	-13.59	1.494	1.715	100	99.8	82.9	33.5
docs/diag/2026-05-07-evidence/A/widget-cells-no-pluto/c/render_1778117396588_1185x787__surface_widget_offsetY_0.0_tilt_0.0_labels_on_pluto_off.png	1185x787	14347	-0.01	-13.71	2.244	1.491	100	99.8	91.6	42.3
